date,strategy,weekly_return,rebalance_month,wealth
2023-07-07,Rolling REPO,-0.013852777513226345,2023-07,0.8492755680699419
2023-07-14,Rolling REPO,0.01687638799606663,2023-07,0.8636082720722702
2023-07-21,Rolling REPO,0.002728936417487015,2023-07,0.8659650041363712
2023-07-28,Rolling REPO,-0.0010911447258017148,2023-07,0.8650201109893789
2023-08-04,Rolling REPO,-0.009195266788036652,2023-08,0.8570660202918146
2023-08-11,Rolling REPO,-0.001721803700516155,2023-08,0.8555903208464894
2023-08-18,Rolling REPO,-0.008284656320883457,2023-08,0.8485020490868018
2023-08-25,Rolling REPO,0.005380811136480577,2023-08,0.8530676783618547
2023-09-01,Rolling REPO,0.005211446035467258,2023-09,0.8575133945322388
2023-09-08,Rolling REPO,-0.004272620673388518,2023-09,0.8538495650750528
2023-09-15,Rolling REPO,-0.00016287644516951578,2023-09,0.8537104930931838
2023-09-22,Rolling REPO,-0.007621757584125434,2023-09,0.8472037186678034
2023-09-29,Rolling REPO,-0.007470359413321028,2023-09,0.8408748023930528
2023-10-06,Rolling REPO,-0.013595447733166888,2023-10,0.829442732966981
2023-10-13,Rolling REPO,0.014552143008295042,2023-10,0.8415129022343076
2023-10-20,Rolling REPO,-0.01290561545346015,2023-10,0.8306526603189465
2023-10-27,Rolling REPO,0.00608787858078172,2023-10,0.8357095728577715
2023-11-03,Rolling REPO,0.019044584628983435,2023-11,0.8516253145433129
2023-11-10,Rolling REPO,-0.00520408659655149,2023-11,0.8471933826586141
2023-11-17,Rolling REPO,0.016543374762296285,2023-11,0.8612088202840731
2023-11-24,Rolling REPO,0.0022388853716222017,2023-11,0.8631369681137191
2023-12-01,Rolling REPO,0.019002307698100507,2023-12,0.8795385623674216
2023-12-08,Rolling REPO,-0.0049676003276484726,2023-12,0.8751693663168257
2023-12-15,Rolling REPO,0.018309084168880687,2023-12,0.8911929159067464
2023-12-22,Rolling REPO,0.0033874062840465323,2023-12,0.8942117483903866
2023-12-29,Rolling REPO,0.004358489345741239,2023-12,0.8981091607685828
2024-01-05,Rolling REPO,-0.011798597997715612,2024-01,0.8875127318226086
2024-01-12,Rolling REPO,0.009369382978044644,2024-01,0.8958281785049452
2024-01-19,Rolling REPO,-0.010352775706475175,2024-01,0.8865538703013434
2024-01-26,Rolling REPO,0.0018723392355619462,2024-01,0.8882137998971479
2024-02-02,Rolling REPO,0.002831883314792362,2024-02,0.890729117737045
2024-02-09,Rolling REPO,-0.005075006719923634,2024-02,0.8862086614788978
2024-02-16,Rolling REPO,-0.004832607155029674,2024-02,0.8819259631605856
2024-02-23,Rolling REPO,0.0053791083933163045,2024-02,0.8866699385113063
2024-03-01,Rolling REPO,0.003823754565645465,2024-03,0.8900603467369095
2024-03-08,Rolling REPO,0.012063497921668751,2024-03,0.9007975878799299
2024-03-15,Rolling REPO,-0.009243034767900869,2024-03,0.8924714844563144
2024-03-22,Rolling REPO,0.007131605620402273,2024-03,0.8988362391109118
2024-03-29,Rolling REPO,0.004932938479706265,2024-03,0.9032701429817765
2024-04-05,Rolling REPO,-0.01013952744661123,2024-04,0.8941114105753084
2024-04-12,Rolling REPO,-0.006700903553150363,2024-04,0.8881200562472721
2024-04-19,Rolling REPO,-0.006235616521252924,2024-04,0.8825820801516805
2024-04-26,Rolling REPO,0.004949310586971849,2024-04,0.8869502529848468
2024-05-03,Rolling REPO,0.00631820640606252,2024-05,0.8925541877551144
2024-05-10,Rolling REPO,0.004112659092899119,2024-05,0.8962249588512906
2024-05-17,Rolling REPO,0.009654908921301754,2024-05,0.9048779292019973
2024-05-24,Rolling REPO,-0.006938555745896693,2024-05,0.8985993832469976
2024-05-31,Rolling REPO,-0.0021310140031214186,2024-05,0.8966844553781019
2024-06-07,Rolling REPO,-0.0016452989586298913,2024-06,0.8952091413774488
2024-06-14,Rolling REPO,0.012196922186755615,2024-06,0.9061279376157019
2024-06-21,Rolling REPO,-0.0006510386718751847,2024-06,0.9055380132866475
2024-06-28,Rolling REPO,-0.005247240323630119,2024-06,0.9007864377087499
2024-07-05,Rolling REPO,0.010159530378233736,2024-07,0.909938004886953
2024-07-12,Rolling REPO,0.008857711901437164,2024-07,0.9179979735824102
2024-07-19,Rolling REPO,-0.006467453217615226,2024-07,0.9120608646344004
