rebalance_month,method,method_label,eval_start,eval_end,lookback_start,lookback_end,l1_change,turnover,max_abs_weight_change,weight_entropy,effective_n_entropy,herfindahl_hhi,effective_n_hhi,max_weight,top3_weight,n_positions_gt_1pct,w_SPY,w_EFA,w_EEM,w_AGG,w_LQD,w_HYG,w_GLD,w_VNQ,w_DBC
2022-09,rolling_repo,Rolling REPO,2022-09-02,2022-09-30,2019-09-06,2022-08-26,0.0,0.0,0.0,1.4917450202726998,4.44484510025791,0.30973850984369783,3.228529770174933,0.501261865712,0.78365883685,8,0.025356170391,0.012756460121,0.041402709524,0.501261865712,0.15452239633,0.124838709948,0.127874574808,9.5335385e-05,0.01189177778
2022-10,rolling_mvpo,Rolling MVPO,2022-10-07,2022-10-28,2019-10-11,2022-09-30,0.023379968859635808,0.011689984429817904,0.010411319020414755,1.092925284391861,2.982987408363717,0.4180716060705238,2.391934743904401,0.5999999999999999,0.9228700967048002,4,0.0,0.0,2.0547440855448134e-17,0.5999999999999999,7.773386597504785e-17,0.16156622592969122,0.1613038707751092,8.365702123005894e-18,0.07712990329519968
2022-10,rolling_repo,Rolling REPO,2022-10-07,2022-10-28,2019-10-11,2022-09-30,0.626207850387,0.3131039251935,0.29432152572899994,1.1182474145345684,3.0594874885494523,0.40682061028456734,2.458085885325498,0.45068010537,0.935710099187,6,0.005065613786,0.014485318354,0.013338351142,0.45068010537,0.448843922059,0.036186071758,0.002359963134,0.00755222065,0.021488433747
2022-11,rolling_mvpo,Rolling MVPO,2022-11-04,2022-11-25,2019-11-08,2022-10-28,0.016175034123413805,0.008087517061706902,0.008087517061706823,1.0864014070034749,2.9635901058693173,0.4195367412513387,2.38358146420581,0.6,0.9309576137665072,4,0.0,0.0,0.0,0.6,0.0,0.16417130936630026,0.16678630440020692,1.956950209579813e-18,0.06904238623349286
2022-11,rolling_repo,Rolling REPO,2022-11-04,2022-11-25,2019-11-08,2022-10-28,0.0,0.0,0.0,1.1182474145345684,3.0594874885494523,0.40682061028456734,2.458085885325498,0.45068010537,0.935710099187,6,0.005065613786,0.014485318354,0.013338351142,0.45068010537,0.448843922059,0.036186071758,0.002359963134,0.00755222065,0.021488433747
2022-12,rolling_mvpo,Rolling MVPO,2022-12-02,2022-12-30,2019-12-06,2022-11-25,0.02033122968966019,0.010165614844830095,0.01016561484482996,1.0944253123124366,2.987465330427407,0.41772783311152756,2.393903208582737,0.6,0.9207919989216771,4,3.014082039342161e-17,4.854458338076947e-17,0.0,0.6,9.558253357228093e-17,0.16068958983987494,0.16010240908180218,0.0,0.07920800107832282
2022-12,rolling_repo,Rolling REPO,2022-12-02,2022-12-30,2019-12-06,2022-11-25,0.626207850387,0.3131039251935,0.29432152572899994,1.4917450202726998,4.44484510025791,0.30973850984369783,3.228529770174933,0.501261865712,0.78365883685,8,0.025356170391,0.012756460121,0.041402709524,0.501261865712,0.15452239633,0.124838709948,0.127874574808,9.5335385e-05,0.01189177778
2023-01,rolling_mvpo,Rolling MVPO,2023-01-06,2023-01-27,2020-01-10,2022-12-30,0.005449107749919562,0.002724553874959781,0.0027245538749597342,1.0929461238017233,2.9830495727086657,0.41806800976022984,2.3919553198378405,0.6,0.9228252258533196,4,1.713039431108972e-17,0.0,0.0,0.6,1.2617051751104175e-16,0.15999826289655777,0.1628269629567619,1.5426836378801897e-17,0.07717477414668027
2023-01,rolling_repo,Rolling REPO,2023-01-06,2023-01-27,2020-01-10,2022-12-30,0.0,0.0,0.0,1.4917450202726998,4.44484510025791,0.30973850984369783,3.228529770174933,0.501261865712,0.78365883685,8,0.025356170391,0.012756460121,0.041402709524,0.501261865712,0.15452239633,0.124838709948,0.127874574808,9.5335385e-05,0.01189177778
2023-02,rolling_mvpo,Rolling MVPO,2023-02-03,2023-02-24,2020-02-07,2023-01-27,0.00995117371908575,0.004975586859542875,0.004975586859542885,1.0964329309699596,2.9934690461327946,0.41726333404071403,2.396568110397225,0.5999999999999999,0.9178496389937769,4,1.7961615918799977e-17,3.76530182911935e-18,0.0,0.5999999999999999,7.466581461243708e-17,0.15844747107893148,0.15940216791484552,9.799611040638358e-18,0.08215036100622315
2023-02,rolling_repo,Rolling REPO,2023-02-03,2023-02-24,2020-02-07,2023-01-27,0.0,0.0,0.0,1.4917450202726998,4.44484510025791,0.30973850984369783,3.228529770174933,0.501261865712,0.78365883685,8,0.025356170391,0.012756460121,0.041402709524,0.501261865712,0.15452239633,0.124838709948,0.127874574808,9.5335385e-05,0.01189177778
2023-03,rolling_mvpo,Rolling MVPO,2023-03-03,2023-03-31,2020-03-06,2023-02-24,0.00522195289108636,0.00261097644554318,0.0026109764455430617,1.0976384590400292,2.997079933170325,0.4169840991079848,2.3981729810302284,0.5999999999999998,0.9159391453328329,4,2.4272576124707132e-17,2.840083975973578e-17,0.0,0.5999999999999998,1.946551161868944e-16,0.15583649463338842,0.16010265069944482,7.043414130362024e-18,0.08406085466716688
2023-03,rolling_repo,Rolling REPO,2023-03-03,2023-03-31,2020-03-06,2023-02-24,0.6303880635929999,0.31519403179649996,0.169316901773,1.121036622699807,3.068032948026555,0.3807821664752356,2.6261734084257213,0.505044867092,0.9722818489030001,5,0.002835795113,0.000262788057,0.000234560678,0.505044867092,0.323839298103,0.00133289292,0.012368556228,0.010683558101,0.143397683708
2023-04,rolling_mvpo,Rolling MVPO,2023-04-07,2023-04-28,2020-04-10,2023-03-31,0.1218247012049633,0.06091235060248165,0.06091235060248127,1.204199870793492,3.334090307496992,0.404779098920306,2.470483289941022,0.6000000000000001,0.859361694135042,5,9.488321902984794e-18,0.0,4.410496913809354e-18,0.6000000000000001,0.060912350602481465,0.15290058360319617,0.10646111053184579,7.005886356711706e-18,0.0797259552624765
2023-04,rolling_repo,Rolling REPO,2023-04-07,2023-04-28,2020-04-10,2023-03-31,0.7537313646910001,0.37686568234550005,0.188139647435,1.4318803455240918,4.186563982189599,0.2839355098023512,3.5219265131582325,0.433340079939,0.810779159651,5,0.000425426914,0.001161803408,0.004102619233,0.433340079939,0.155505962703,0.176930876049,0.200508203663,0.019044535977,0.008980492115
2023-05,rolling_mvpo,Rolling MVPO,2023-05-05,2023-05-26,2020-05-08,2023-04-28,0.24036514425308145,0.12018257212654072,0.12018257212654068,1.0093770484149653,2.743891171143009,0.4428219115063226,2.2582441699832687,0.5999999999999999,0.9463792321393887,4,0.0,3.8107655361449236e-19,0.0,0.5999999999999999,0.0,0.27308315572973685,0.073296076409652,0.0,0.05362076786061124
