architecture,architecture_label,mu_europe,status,stage1_status,stage2_status,solver,stage1_solver,stage2_solver,solve_time_seconds,stage1_solve_time_seconds,stage2_solve_time_seconds,turnover_constraint_applied,turnover_reference_available,n_scenarios,scenario_source,scenario_seed,portfolio_cvar_limit_mode,cvar_portfolio_benchmark_factor,requested_portfolio_cvar_limit,effective_portfolio_cvar_limit,benchmark_portfolio_cvar_demeaned,cvar_te_limit,expected_return,stage1_expected_return,stage2_expected_return,objective_loss_pct,stage2_bm_distance_objective,portfolio_cvar,portfolio_cvar_demeaned,portfolio_cvar_full,te_cvar,te_cvar_demeaned,te_cvar_full,bm_dist_l2,bm_dist_l1,max_weight,herfindahl,effective_n,turnover,error_message,w_US,w_Europe,w_EM,w_Japan,aw_US,aw_Europe,aw_EM,aw_Japan,stage1_w_US,stage1_w_Europe,stage1_w_EM,stage1_w_Japan,stage1_aw_US,stage1_aw_Europe,stage1_aw_EM,stage1_aw_Japan,adj_abs_change_US,adj_change_US,adj_abs_change_Europe,adj_change_Europe,adj_abs_change_EM,adj_change_EM,adj_abs_change_Japan,adj_change_Japan,adj_l1_change,adj_l2_change,adj_max_jump,instability_score,portfolio_risk_factor,te_cvar_limit,turnover_limit,is_feasible
A,Architecture A: Standard Optimization,0.0685,optimal,,,CLARABEL,,,2.225716,,,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06947492150052138,,,,,0.2748026502871115,0.2748026502871115,0.2053277287865901,0.01423381576429162,0.01423381576429162,0.014158894263770247,0.06895801303527456,0.1254995186769608,0.3782170438228058,0.31566531058816544,3.1679122363389993,0.1254995186769608,,0.35903319683871193,0.3782170438228058,0.19917467281665144,0.06357508652182703,-0.04096680316128809,-0.021782956177194224,0.049174672816651444,0.013575086521827026,,,,,,,,,0.01056107240796511,0.01056107240796511,0.023652009824342957,-0.023652009824342957,0.008339477167509518,0.008339477167509518,0.004751460248873671,0.004751460248873671,0.047304019648691256,0.02762384971471458,0.023652009824342957,0.0985798791877488,1.0,0.01,0.3,True
B,Architecture B: Stronger Single-Stage,0.0685,optimal,,,CLARABEL,,,10.1216076,,,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06947023150239591,,,,,0.27480264705017615,0.27480264705017615,0.20533241554778026,0.009999600995856325,0.009999600995856325,0.00992936949346043,0.04823834714036871,0.08643176070033945,0.38575275614857,0.3240468103084289,3.0859739031166407,0.08643176070033945,,0.37103136350126037,0.38575275614857,0.18485494209356443,0.058360938256605356,-0.028968636498739653,-0.014247243851430003,0.034854942093564434,0.008360938256605353,,,,,,,,,0.01082419609781815,0.01082419609781815,0.014744338835525672,-0.014744338835525672,0.0020273540774105314,0.0020273540774105314,0.0018927886602973787,0.0018927886602973787,0.029488677671051733,0.018500042225047912,0.014744338835525672,0.06273305873162532,1.0,0.01,0.3,True
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.0685,optimal,optimal,optimal,CLARABEL,CLARABEL,CLARABEL,14.3763553,10.1216076,4.2547477,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.0693994768893397,0.06947023150239591,0.0693994768893397,0.0010184882290736144,1.2832889629504055e-09,0.27480002084881844,0.27480002084881844,0.2054005439594787,7.010484515602455e-06,7.010484515602455e-06,7.533595175912648e-06,3.58230228058773e-05,6.1014359047976974e-05,0.3999944357339587,0.3449860311942727,2.898668089656268,6.1014359047976974e-05,,0.3999898269598183,0.3999944357339587,0.149985230126699,0.05003050717952393,-1.0173040181749027e-05,-5.564266041313548e-06,-1.4769873300984893e-05,3.0507179523929506e-05,0.37103136350126037,0.38575275614857,0.18485494209356443,0.058360938256605356,-0.028968636498739653,-0.014247243851430003,0.034854942093564434,0.008360938256605353,4.051518335934645e-06,-4.051518335934645e-06,2.2159529465271e-06,-2.2159529465271e-06,5.882048377481297e-06,-5.882048377481297e-06,1.2149519659915287e-05,1.2149519659915287e-05,2.429903931985833e-05,1.4266554222002425e-05,1.2149519659915287e-05,5.071511320177604e-05,1.0,0.01,0.3,True
A,Architecture A: Standard Optimization,0.068,optimal,,,CLARABEL,,,2.3863182,,,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06928983795594053,,,,,0.27480264924275155,0.27480264924275155,0.20551281128681104,0.015467539539806577,0.015467539539806577,0.01537770158386606,0.07556774212981919,0.1407365786554956,0.372798056984371,0.3120429771535,3.20468676822065,0.1407365786554956,,0.372798056984371,0.35683365368788234,0.202951480161618,0.06741680916613092,-0.027201943015629004,-0.04316634631211769,0.05295148016161799,0.01741680916613092,,,,,,,,,0.013764860145659086,0.013764860145659086,0.021383390134923463,-0.021383390134923463,0.0037768073449665485,0.0037768073449665485,0.0038417226443038938,0.0038417226443038938,0.04276678026985299,0.02599507366961376,0.021383390134923463,0.09014524407439022,1.0,0.01,0.3,True
B,Architecture B: Stronger Single-Stage,0.068,optimal,,,CLARABEL,,,11.270636,,,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06928021938190405,,,,,0.2748026492817205,0.2748026492817205,0.20552242989981645,0.009999843130494086,0.009999843130494086,0.00991962374859004,0.04845816274586421,0.08930425576313658,0.38231032714320246,0.32305246792038683,3.095472405573575,0.08930425576313658,,0.38231032714320246,0.3730375449752305,0.18480381950389393,0.05984830837767557,-0.017689672856797567,-0.026962455024769516,0.03480381950389394,0.009848308377675564,,,,,,,,,0.011278963641942086,0.011278963641942086,0.012715211173339513,-0.012715211173339513,5.112258967049366e-05,-5.112258967049366e-05,0.0014873701210702112,0.0014873701210702112,0.025532667526022304,0.01706184337681883,0.012715211173339513,0.05530972207618065,1.0,0.01,0.3,True
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.068,optimal,optimal,optimal,CLARABEL,CLARABEL,CLARABEL,16.5993881,11.270636,5.3287521,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.0691995059820951,0.06928021938190405,0.0691995059820951,0.0011650280632633525,1.1567882478081364e-09,0.27480015392048207,0.27480015392048207,0.20560064793838695,6.655997136437875e-06,6.655997136437875e-06,7.1500150413467244e-06,3.4011589904150854e-05,5.792906550085297e-05,0.39999471711833684,0.3449867375515609,2.898662154659039,5.792906550085297e-05,,0.3999903414843085,0.39999471711833684,0.14998597686460427,0.050028964532750436,-9.658515691512992e-06,-5.282881663182248e-06,-1.4023135395724307e-05,2.8964532750433425e-05,0.38231032714320246,0.3730375449752305,0.18480381950389393,0.05984830837767557,-0.017689672856797567,-0.026962455024769516,0.03480381950389394,0.009848308377675564,5.145244902360346e-07,5.145244902360346e-07,2.813843781312997e-07,2.813843781312997e-07,7.46737905260586e-07,7.46737905260586e-07,1.5426467734960814e-06,-1.5426467734960814e-06,3.0852935471240017e-06,1.8114329096711883e-06,1.5426467734960814e-06,6.439373230291271e-06,1.0,0.01,0.3,True
A,Architecture A: Standard Optimization,0.0675,optimal,,,CLARABEL,,,2.201124,,,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06911623725960067,,,,,0.27480265148410693,0.27480265148410693,0.20568641422450626,0.017309658650395694,0.017309658650395694,0.017193421390795032,0.08837787437627581,0.1564304175592674,0.38407611577587514,0.309397373332589,3.232089494583532,0.1564304175592674,,0.38407611577587514,0.33770867544449173,0.2066868539953165,0.07152835478431771,-0.015923884224124885,-0.06229132455550829,0.056686853995316505,0.021528354784317708,,,,,,,,,0.01127805879150412,0.01127805879150412,0.0191249782433906,-0.0191249782433906,0.003735373833698513,0.003735373833698513,0.004111545618186788,0.004111545618186788,0.03824995648678002,0.02288705371957469,0.0191249782433906,0.0802619884497453,1.0,0.01,0.3,True
B,Architecture B: Stronger Single-Stage,0.0675,optimal,,,CLARABEL,,,13.2196731,,,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06909639207804194,,,,,0.2748026496706303,0.2748026496706303,0.20570625759258832,0.009999891409229373,0.009999891409229373,0.009903499331187433,0.051827527948533465,0.08760034809113931,0.39430738701779644,0.32360722868202796,3.0901658287200573,0.08760034809113931,,0.39430738701779644,0.3618924389366339,0.18290628930335354,0.06089388474221609,-0.005692612982203582,-0.0381075610633661,0.03290628930335354,0.010893884742216087,,,,,,,,,0.011997059874593985,0.011997059874593985,0.011145106038596586,-0.011145106038596586,0.0018975302005403982,-0.0018975302005403982,0.0010455763645405222,0.0010455763645405222,0.02608527247827149,0.01651776876706427,0.011997059874593985,0.054600101119929745,1.0,0.01,0.3,True
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.0675,optimal,optimal,optimal,CLARABEL,CLARABEL,CLARABEL,17.9390097,13.2196731,4.7193366,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06899968679847257,0.06909639207804194,0.06899968679847257,0.0013995706094197355,4.699728608143224e-10,0.2748010599088972,0.2748010599088972,0.20580137311042457,4.242509673899537e-06,4.242509673899537e-06,4.5557112013236646e-06,2.167885746099924e-05,3.692376675996922e-05,0.3999966326827955,0.3449915463085809,2.898621750880645,3.692376675996922e-05,,0.39999384374777264,0.3999966326827955,0.14999106168605195,0.05001846188338002,-6.156252227385028e-06,-3.367317204516773e-06,-8.938313948048116e-06,1.8461883380019306e-05,0.39430738701779644,0.3618924389366339,0.18290628930335354,0.06089388474221609,-0.005692612982203582,-0.0381075610633661,0.03290628930335354,0.010893884742216087,3.5022634641279637e-06,3.5022634641279637e-06,1.915564458665475e-06,1.915564458665475e-06,5.084821447676191e-06,5.084821447676191e-06,1.0502649370414119e-05,-1.0502649370414119e-05,2.100529874088375e-05,1.2332732443383171e-05,1.0502649370414119e-05,4.384068055468104e-05,1.0,0.01,0.3,True
A,Architecture A: Standard Optimization,0.067,optimal,,,CLARABEL,,,2.5608036,,,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06895167716785143,,,,,0.2748026472723595,0.2748026472723595,0.205850970104508,0.01903817013164627,0.01903817013164627,0.01888649296379484,0.1013931727853086,0.1689158865028135,0.39362030805911985,0.30800313083839603,3.246720243648052,0.1689158865028135,,0.39362030805911985,0.32192174868947415,0.20921557813454325,0.0752423651168642,-0.006379691940880172,-0.07807825131052587,0.059215578134543256,0.0252423651168642,,,,,,,,,0.009544192283244712,0.009544192283244712,0.015786926755017583,-0.015786926755017583,0.002528724139226751,0.002528724139226751,0.003714010332546494,0.003714010332546494,0.03157385351003554,0.018987021389107038,0.015786926755017583,0.06634780165416015,1.0,0.01,0.3,True
B,Architecture B: Stronger Single-Stage,0.067,optimal,,,CLARABEL,,,11.1448024,,,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06891723756552977,,,,,0.2748026477728325,0.2748026477728325,0.20588541020730272,0.009999881469573573,0.009999881469573573,0.009882643904043805,0.05563400909377746,0.09019979211979004,0.4034268208026753,0.32499433034987657,3.0769767550204272,0.09019979211979004,,0.4034268208026753,0.354900103940105,0.18035170031041886,0.06132137494680092,0.0034268208026752567,-0.045099896059895006,0.030351700310418867,0.011321374946800918,,,,,,,,,0.009119433784878839,0.009119433784878839,0.006992334996528904,-0.006992334996528904,0.0025545889929346755,-0.0025545889929346755,0.00042749020458483084,0.00042749020458483084,0.01909384797892725,0.011779876657177333,0.009119433784878839,0.03999315842098342,1.0,0.01,0.3,True
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.067,optimal,optimal,optimal,CLARABEL,CLARABEL,CLARABEL,16.3026335,11.1448024,5.1578311,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06879961598864957,0.06891723756552977,0.06879961598864957,0.0017067076545015975,7.141598466029361e-10,0.27480068929908136,0.27480068929908136,0.20600107331043177,5.229786412336244e-06,5.229786412336244e-06,5.613797762772175e-06,2.6723769318771934e-05,4.551635461649828e-05,0.3999958490564356,0.3449895791421931,2.898638279122726,4.551635461649828e-05,,0.3999924110705542,0.3999958490564356,0.14998898169570185,0.05002275817730813,-7.588929445800918e-06,-4.150943564429355e-06,-1.1018304298143766e-05,2.275817730812424e-05,0.4034268208026753,0.354900103940105,0.18035170031041886,0.06132137494680092,0.0034268208026752567,-0.045099896059895006,0.030351700310418867,0.011321374946800918,1.4326772184158898e-06,-1.4326772184158898e-06,7.836263599125814e-07,-7.836263599125814e-07,2.0799903500956507e-06,-2.0799903500956507e-06,4.296293928104933e-06,4.296293928104933e-06,8.592587856529055e-06,5.044911858227067e-06,4.296293928104933e-06,1.7933793642861054e-05,1.0,0.01,0.3,True
A,Architecture A: Standard Optimization,0.0665,optimal,,,CLARABEL,,,2.3734224,,,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06879527029166409,,,,,0.2748026446955262,0.2748026446955262,0.20600737440386208,0.021329530589444888,0.021329530589444888,0.021134260297780802,0.12076967855134807,0.19942596651381522,0.409026303989357,0.30817039016289177,3.244958087866336,0.19942596651381522,,0.409026303989357,0.30028701674309377,0.2103287519639001,0.08035792730365188,0.009026303989356999,-0.09971298325690625,0.06032875196390011,0.030357927303651874,,,,,,,,,0.01540599593023717,0.01540599593023717,0.02163473194638038,-0.02163473194638038,0.001113173829356856,0.001113173829356856,0.005115562186787673,0.005115562186787673,0.04326946389276208,0.027070546161011844,0.02163473194638038,0.0919747420001543,1.0,0.01,0.3,True
B,Architecture B: Stronger Single-Stage,0.0665,optimal,,,CLARABEL,,,10.1444364,,,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06874064268219511,,,,,0.27480264659784603,0.27480264659784603,0.2060620039156509,0.009999890069113927,0.009999890069113927,0.009859247386918816,0.057950306155900036,0.09675031126398678,0.40833845551540554,0.32605134929427215,3.0670015694290744,0.09675031126398678,,0.40833845551540554,0.3516248443680016,0.17859400696162803,0.06144269315495483,0.008338455515405518,-0.0483751556319984,0.028594006961628032,0.01144269315495483,,,,,,,,,0.004911634712730262,0.004911634712730262,0.003275259572103395,-0.003275259572103395,0.0017576933487908342,-0.0017576933487908342,0.00012131820815391298,0.00012131820815391298,0.010065905841778404,0.006160818519642094,0.004911634712730262,0.02113835907415076,1.0,0.01,0.3,True
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.0665,optimal,optimal,optimal,CLARABEL,CLARABEL,CLARABEL,14.7606813,10.1444364,4.6162449,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06859964136157366,0.06874064268219511,0.06859964136157366,0.002051207482498113,6.296919134678294e-10,0.2748008090501272,0.2748008090501272,0.20620116768855357,4.910777922463352e-06,4.910777922463352e-06,5.2694163488129885e-06,2.5093662814898692e-05,4.273992948082561e-05,0.3999961022610492,0.3449902147585302,2.8986329386180776,4.273992948082561e-05,,0.39999287398252353,0.3999961022610492,0.14998965379168686,0.05002136996474038,-7.126017476488666e-06,-3.897738950819907e-06,-1.0346208313138927e-05,2.136996474037811e-05,0.40833845551540554,0.3516248443680016,0.17859400696162803,0.06144269315495483,0.008338455515405518,-0.0483751556319984,0.028594006961628032,0.01144269315495483,4.6291196931225187e-07,4.6291196931225187e-07,2.532046136094479e-07,2.532046136094479e-07,6.720959850048391e-07,6.720959850048391e-07,1.3882125677461277e-06,-1.3882125677461277e-06,2.7764251356726666e-06,1.6301065038805221e-06,1.3882125677461277e-06,5.794744207299317e-06,1.0,0.01,0.3,True
A,Architecture A: Standard Optimization,0.066,optimal,,,CLARABEL,,,3.9145181,,,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06864876157716375,,,,,0.27480265110634894,0.27480265110634894,0.2061538895291852,0.023147579770078117,0.023147579770078117,0.02289881819291438,0.13566051256444414,0.22927839629103236,0.4194693556311896,0.30896240913218476,3.2366397025735436,0.22927839629103236,,0.4194693556311896,0.285360801854484,0.2108876211148277,0.08428222139949905,0.019469355631189567,-0.11463919814551604,0.060887621114827706,0.03428222139949905,,,,,,,,,0.010443051641832568,0.010443051641832568,0.01492621488860979,-0.01492621488860979,0.0005588691509275934,0.0005588691509275934,0.003924294095847172,0.003924294095847172,0.029852429777217124,0.018643005052123383,0.01492621488860979,0.06342164971795029,1.0,0.01,0.3,True
B,Architecture B: Stronger Single-Stage,0.066,optimal,,,CLARABEL,,,9.7877558,,,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06856517934884816,,,,,0.27480264685684846,0.27480264685684846,0.2062374675080003,0.009999913684620481,0.009999913684620481,0.00983473433577232,0.0592739965281196,0.10009540088685936,0.41112433705596657,0.32675544227205827,3.0603927911547832,0.10009540088685936,,0.41112433705596657,0.3499522995565606,0.1774419498943783,0.061481413493075086,0.011124337055966549,-0.050047700443439425,0.027441949894378315,0.011481413493075084,,,,,,,,,0.0027858815405610304,0.0027858815405610304,0.0016725448114410235,-0.0016725448114410235,0.0011520570672497177,-0.0011520570672497177,3.872033812025305e-05,3.872033812025305e-05,0.005649203757372025,0.003447793041222335,0.0027858815405610304,0.01188287833915539,1.0,0.01,0.3,True
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.066,optimal,optimal,optimal,CLARABEL,CLARABEL,CLARABEL,15.2183698,9.7877558,5.430614,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06839966486330168,0.06856517934884816,0.06839966486330168,0.0024139729104240143,5.558936425904927e-10,0.2748009204382075,0.2748009204382075,0.2064012555749058,4.614046930627232e-06,4.614046930627232e-06,4.949183628962967e-06,2.3577396857806266e-05,4.0157413189752245e-05,0.3999963377570983,0.3449908059683777,2.8986279712383443,4.0157413189752245e-05,,0.3999933045505079,0.3999963377570983,0.14999027898579884,0.05002007870659477,-6.695449492111205e-06,-3.66224290171413e-06,-9.72101420115834e-06,2.007870659476857e-05,0.41112433705596657,0.3499522995565606,0.1774419498943783,0.061481413493075086,0.011124337055966549,-0.050047700443439425,0.027441949894378315,0.011481413493075084,4.3056798437746124e-07,4.3056798437746124e-07,2.354960491057767e-07,2.354960491057767e-07,6.25194111980587e-07,6.25194111980587e-07,1.2912581456095418e-06,-1.2912581456095418e-06,2.5825162910733668e-06,1.5162659577308618e-06,1.2912581456095418e-06,5.39004039441377e-06,1.0,0.01,0.3,True
A,Architecture A: Standard Optimization,0.0655,optimal,,,CLARABEL,,,3.5854253,,,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06851081770738104,,,,,0.2748026479361774,0.2748026479361774,0.20629183022879638,0.025766184582327586,0.025766184582327586,0.02545536687494655,0.15655970186085055,0.2688481692108652,0.43340122587228114,0.31100746121009093,3.2153569438788567,0.2688481692108652,,0.43340122587228114,0.2655759153945677,0.21106261038269136,0.08996024835046042,0.033401225872281115,-0.13442408460543231,0.06106261038269137,0.039960248350460414,,,,,,,,,0.013931870241091548,0.013931870241091548,0.019784886459916273,-0.019784886459916273,0.0001749892678636622,0.0001749892678636622,0.005678026950961368,0.005678026950961368,0.03956977291983285,0.024855770998826444,0.019784886459916273,0.08421043037857556,1.0,0.01,0.3,True
B,Architecture B: Stronger Single-Stage,0.0655,optimal,,,CLARABEL,,,8.8822889,,,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06839058951105462,,,,,0.2748026453373528,0.2748026453373528,0.2064120558262982,0.009999908999593257,0.009999908999593257,0.009809319488538644,0.06081634304366244,0.10363116546441556,0.4142720923721219,0.32762390177075407,3.0522803574316835,0.10363116546441556,,0.4142720923721219,0.34818441726779226,0.1760285872080483,0.061514903152037594,0.014272092372121903,-0.051815582732207766,0.026028587208048293,0.01151490315203759,,,,,,,,,0.003147755316155354,0.003147755316155354,0.001767882288768341,-0.001767882288768341,0.001413362686330022,-0.001413362686330022,3.348965896250722e-05,3.348965896250722e-05,0.006362489950216224,0.0038771751260025028,0.003147755316155354,0.013387420392374082,1.0,0.01,0.3,True
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.0655,optimal,optimal,optimal,CLARABEL,CLARABEL,CLARABEL,15.4637116,8.8822889,6.5814227,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06819973314737388,0.06839058951105462,0.06819973314737388,0.002790681657304497,3.563270840710777e-10,0.27480126576655717,0.27480126576655717,0.2066015326191833,3.6941197393368197e-06,3.6941197393368197e-06,3.960972365482003e-06,1.887662798465546e-05,3.215097143047935e-05,0.3999970679236897,0.3449926389847078,2.8986125702361036,3.215097143047935e-05,,0.3999946395273578,0.3999970679236897,0.1499922170632373,0.05001607548571526,-5.3604726422129545e-06,-2.932076310302456e-06,-7.782936762706916e-06,1.607548571525702e-05,0.4142720923721219,0.34818441726779226,0.1760285872080483,0.061514903152037594,0.014272092372121903,-0.051815582732207766,0.026028587208048293,0.01151490315203759,1.3349768498982506e-06,1.3349768498982506e-06,7.30166591411674e-07,7.30166591411674e-07,1.9380774384514243e-06,1.9380774384514243e-06,4.003220879511549e-06,-4.003220879511549e-06,8.006441759272898e-06,4.700768874191715e-06,4.003220879511549e-06,1.6710431512976163e-05,1.0,0.01,0.3,True
A,Architecture A: Standard Optimization,0.065,optimal,,,CLARABEL,,,2.7735607,,,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06838051785944937,,,,,0.27480263348471873,0.27480263348471873,0.20642211562526935,0.027747924420116237,0.027747924420116237,0.02736740656066687,0.1704342770199902,0.29370451600771585,0.4397078338127567,0.31158097517252187,3.2094385719355993,0.29370451600771585,,0.4397078338127567,0.25314774199614204,0.2126711466148302,0.094473277576271,0.039707833812756665,-0.14685225800385798,0.0626711466148302,0.044473277576270995,,,,,,,,,0.00630660794047555,0.00630660794047555,0.012428173398425668,-0.012428173398425668,0.0016085362321388297,0.0016085362321388297,0.00451302922581058,0.00451302922581058,0.02485634679685063,0.014737286702080831,0.012428173398425668,0.05202180689735713,1.0,0.01,0.3,True
B,Architecture B: Stronger Single-Stage,0.065,optimal,,,CLARABEL,,,8.7827664,,,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06821692171453086,,,,,0.27480265056744935,0.27480265056744935,0.20658572885291848,0.009999979141864127,0.009999979141864127,0.009783057427333272,0.062218590992694466,0.10654597086803383,0.4170846755030557,0.3284731504766947,3.0443888596335986,0.10654597086803383,,0.4170846755030557,0.346727014565985,0.17466907181624816,0.06151923811471492,0.017084675503055702,-0.05327298543401504,0.024669071816248167,0.01151923811471492,,,,,,,,,0.002812583130933799,0.002812583130933799,0.0014574027018072755,-0.0014574027018072755,0.0013595153918001257,-0.0013595153918001257,4.334962677328413e-06,4.334962677328413e-06,0.005633836187218529,0.003447165124575755,0.002812583130933799,0.011893584442728082,1.0,0.01,0.3,True
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.065,optimal,optimal,optimal,CLARABEL,CLARABEL,CLARABEL,15.3886361,8.7827664,6.6058696999999995,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06799947364629497,0.06821692171453086,0.06799947364629497,0.003187597193931716,1.4016830664418275e-09,0.2747999021314783,0.2747999021314783,0.20680042848518337,7.326739182798702e-06,7.326739182798702e-06,7.853092887833426e-06,3.7439058033580754e-05,6.376694394919641e-05,0.3999941844025749,0.3449854009325545,2.8986733852992885,6.376694394919641e-05,,0.3999893680479577,0.3999941844025749,0.1499845640774928,0.05003188347197456,-1.0631952042317039e-05,-5.815597425129493e-06,-1.5435922507189836e-05,3.188347197456004e-05,0.4170846755030557,0.346727014565985,0.17466907181624816,0.06151923811471492,0.017084675503055702,-0.05327298543401504,0.024669071816248167,0.01151923811471492,5.271479400104084e-06,-5.271479400104084e-06,2.8835211148270368e-06,-2.8835211148270368e-06,7.65298574448292e-06,-7.65298574448292e-06,1.580798625930302e-05,1.580798625930302e-05,3.161597251871706e-05,1.8562430052796078e-05,1.580798625930302e-05,6.598638883081615e-05,1.0,0.01,0.3,True
A,Architecture A: Standard Optimization,0.0645,optimal,,,CLARABEL,,,2.2702388,,,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06825541175080395,,,,,0.2748026452524076,0.2748026452524076,0.2065472335016037,0.02830539342039535,0.02830539342039535,0.027849981669591406,0.1740215833676364,0.2999999967228929,0.4407740387895794,0.3115133513114132,3.2101352824531793,0.2999999967228929,,0.4407740387895794,0.25000000163855013,0.2134400576697201,0.09578590190214355,0.04077403878957936,-0.1499999983614499,0.0634400576697201,0.045785901902143544,,,,,,,,,0.0010662049768226933,0.0010662049768226933,0.0031477403575919105,-0.0031477403575919105,0.0007689110548899092,0.0007689110548899092,0.0013126243258725495,0.0013126243258725495,0.0062954807151770625,0.0036550334119702112,0.0031477403575919105,0.013098254484739185,1.0,0.01,0.3,True
B,Architecture B: Stronger Single-Stage,0.0645,optimal,,,CLARABEL,,,9.5895849,,,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06804381817444564,,,,,0.27480265186809505,0.27480265186809505,0.2067588336936494,0.009999994083483265,0.009999994083483265,0.009756175909037627,0.06322189596049656,0.10847238876902102,0.41913055233991137,0.3291440960576182,3.038183008529326,0.10847238876902102,,0.41913055233991137,0.345763805615491,0.17360518679998183,0.061500455244618855,0.019130552339911344,-0.054236194384508996,0.02360518679998183,0.011500455244618853,,,,,,,,,0.0020458768368556424,0.0020458768368556424,0.0009632089504939545,-0.0009632089504939545,0.001063885016266336,-0.001063885016266336,1.878287009606655e-05,-1.878287009606655e-05,0.0040917536737119994,0.002499117371781322,0.0020458768368556424,0.008636747882348963,1.0,0.01,0.3,True
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,0.0645,optimal,optimal,optimal,CLARABEL,CLARABEL,CLARABEL,15.724969399999999,9.5895849,6.1353845,True,True,10000,excel_workbook,,benchmark_factor,1.0,0.25,0.27480265248327623,0.27480265248327623,0.01,0.06779968545754361,0.06804381817444564,0.06779968545754361,0.0035878750407001368,5.061317244859072e-10,0.27480099977913747,0.27480099977913747,0.20700131432159385,4.402691995196189e-06,4.402691995196189e-06,4.717234451589506e-06,2.2497371501708975e-05,3.831793844644854e-05,0.3999965053746089,0.3449912270634448,2.898624433183332,3.831793844644854e-05,,0.3999936113277065,0.3999965053746089,0.1499907243284614,0.0500191589692232,-6.388672293522468e-06,-3.494625391120554e-06,-9.275671538605534e-06,1.9158969223199984e-05,0.41913055233991137,0.345763805615491,0.17360518679998183,0.061500455244618855,0.019130552339911344,-0.054236194384508996,0.02360518679998183,0.011500455244618853,4.243279748794571e-06,4.243279748794571e-06,2.320972034008939e-06,2.320972034008939e-06,6.160250968584302e-06,6.160250968584302e-06,1.2724502751360056e-05,-1.2724502751360056e-05,2.5449005502747868e-05,1.4941686533805184e-05,1.2724502751360056e-05,5.311519478791311e-05,1.0,0.01,0.3,True
