architecture,architecture_label,status,is_feasible,mu_europe,portfolio_risk_factor,te_cvar_limit,turnover_limit,expected_return,portfolio_cvar,te_cvar,bm_dist_l2,bm_dist_l1,turnover,herfindahl,effective_n,instability_score,max_adjacent_jump,objective_loss_pct,max_weight
A,Architecture A: Standard Optimization,infeasible,False,0.07,0.95,0.01,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.07,0.95,0.01,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.07,0.95,0.01,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0695,0.95,0.01,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0695,0.95,0.01,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0695,0.95,0.01,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.069,0.95,0.01,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.069,0.95,0.01,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.069,0.95,0.01,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0685,0.95,0.01,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0685,0.95,0.01,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0685,0.95,0.01,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.068,0.95,0.01,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.068,0.95,0.01,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.068,0.95,0.01,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0675,0.95,0.01,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0675,0.95,0.01,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0675,0.95,0.01,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.067,0.95,0.01,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.067,0.95,0.01,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.067,0.95,0.01,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0665,0.95,0.01,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0665,0.95,0.01,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0665,0.95,0.01,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.066,0.95,0.01,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.066,0.95,0.01,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.066,0.95,0.01,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0655,0.95,0.01,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0655,0.95,0.01,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0655,0.95,0.01,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.065,0.95,0.01,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.065,0.95,0.01,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.065,0.95,0.01,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0645,0.95,0.01,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0645,0.95,0.01,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0645,0.95,0.01,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.064,0.95,0.01,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.064,0.95,0.01,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.064,0.95,0.01,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0635,0.95,0.01,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0635,0.95,0.01,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0635,0.95,0.01,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.063,0.95,0.01,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.063,0.95,0.01,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.063,0.95,0.01,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0625,0.95,0.01,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0625,0.95,0.01,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0625,0.95,0.01,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.062,0.95,0.01,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.062,0.95,0.01,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.062,0.95,0.01,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0615,0.95,0.01,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0615,0.95,0.01,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0615,0.95,0.01,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.061,0.95,0.01,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.061,0.95,0.01,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.061,0.95,0.01,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0605,0.95,0.01,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0605,0.95,0.01,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0605,0.95,0.01,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.06,0.95,0.01,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.06,0.95,0.01,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.06,0.95,0.01,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.07,0.95,0.01,0.3,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.07,0.95,0.01,0.3,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.07,0.95,0.01,0.3,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0695,0.95,0.01,0.3,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0695,0.95,0.01,0.3,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0695,0.95,0.01,0.3,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.069,0.95,0.01,0.3,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.069,0.95,0.01,0.3,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.069,0.95,0.01,0.3,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0685,0.95,0.01,0.3,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0685,0.95,0.01,0.3,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0685,0.95,0.01,0.3,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.068,0.95,0.01,0.3,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.068,0.95,0.01,0.3,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.068,0.95,0.01,0.3,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0675,0.95,0.01,0.3,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0675,0.95,0.01,0.3,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0675,0.95,0.01,0.3,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.067,0.95,0.01,0.3,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.067,0.95,0.01,0.3,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.067,0.95,0.01,0.3,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0665,0.95,0.01,0.3,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0665,0.95,0.01,0.3,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0665,0.95,0.01,0.3,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.066,0.95,0.01,0.3,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.066,0.95,0.01,0.3,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.066,0.95,0.01,0.3,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0655,0.95,0.01,0.3,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0655,0.95,0.01,0.3,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0655,0.95,0.01,0.3,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.065,0.95,0.01,0.3,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.065,0.95,0.01,0.3,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.065,0.95,0.01,0.3,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0645,0.95,0.01,0.3,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0645,0.95,0.01,0.3,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0645,0.95,0.01,0.3,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.064,0.95,0.01,0.3,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.064,0.95,0.01,0.3,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.064,0.95,0.01,0.3,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0635,0.95,0.01,0.3,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0635,0.95,0.01,0.3,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0635,0.95,0.01,0.3,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.063,0.95,0.01,0.3,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.063,0.95,0.01,0.3,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.063,0.95,0.01,0.3,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0625,0.95,0.01,0.3,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0625,0.95,0.01,0.3,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0625,0.95,0.01,0.3,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.062,0.95,0.01,0.3,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.062,0.95,0.01,0.3,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.062,0.95,0.01,0.3,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0615,0.95,0.01,0.3,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0615,0.95,0.01,0.3,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0615,0.95,0.01,0.3,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.061,0.95,0.01,0.3,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.061,0.95,0.01,0.3,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.061,0.95,0.01,0.3,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0605,0.95,0.01,0.3,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0605,0.95,0.01,0.3,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0605,0.95,0.01,0.3,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.06,0.95,0.01,0.3,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.06,0.95,0.01,0.3,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.06,0.95,0.01,0.3,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.07,0.95,0.01,0.4,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.07,0.95,0.01,0.4,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.07,0.95,0.01,0.4,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0695,0.95,0.01,0.4,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0695,0.95,0.01,0.4,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0695,0.95,0.01,0.4,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.069,0.95,0.01,0.4,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.069,0.95,0.01,0.4,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.069,0.95,0.01,0.4,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0685,0.95,0.01,0.4,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0685,0.95,0.01,0.4,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0685,0.95,0.01,0.4,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.068,0.95,0.01,0.4,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.068,0.95,0.01,0.4,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.068,0.95,0.01,0.4,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0675,0.95,0.01,0.4,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0675,0.95,0.01,0.4,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0675,0.95,0.01,0.4,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.067,0.95,0.01,0.4,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.067,0.95,0.01,0.4,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.067,0.95,0.01,0.4,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0665,0.95,0.01,0.4,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0665,0.95,0.01,0.4,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0665,0.95,0.01,0.4,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.066,0.95,0.01,0.4,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.066,0.95,0.01,0.4,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.066,0.95,0.01,0.4,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0655,0.95,0.01,0.4,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0655,0.95,0.01,0.4,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0655,0.95,0.01,0.4,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.065,0.95,0.01,0.4,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.065,0.95,0.01,0.4,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.065,0.95,0.01,0.4,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0645,0.95,0.01,0.4,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0645,0.95,0.01,0.4,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0645,0.95,0.01,0.4,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.064,0.95,0.01,0.4,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.064,0.95,0.01,0.4,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.064,0.95,0.01,0.4,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0635,0.95,0.01,0.4,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0635,0.95,0.01,0.4,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0635,0.95,0.01,0.4,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.063,0.95,0.01,0.4,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.063,0.95,0.01,0.4,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.063,0.95,0.01,0.4,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0625,0.95,0.01,0.4,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0625,0.95,0.01,0.4,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0625,0.95,0.01,0.4,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.062,0.95,0.01,0.4,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.062,0.95,0.01,0.4,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.062,0.95,0.01,0.4,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0615,0.95,0.01,0.4,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0615,0.95,0.01,0.4,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0615,0.95,0.01,0.4,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.061,0.95,0.01,0.4,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.061,0.95,0.01,0.4,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.061,0.95,0.01,0.4,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0605,0.95,0.01,0.4,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0605,0.95,0.01,0.4,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0605,0.95,0.01,0.4,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.06,0.95,0.01,0.4,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.06,0.95,0.01,0.4,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.06,0.95,0.01,0.4,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.07,0.95,0.02,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.07,0.95,0.02,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.07,0.95,0.02,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0695,0.95,0.02,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0695,0.95,0.02,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0695,0.95,0.02,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.069,0.95,0.02,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.069,0.95,0.02,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.069,0.95,0.02,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0685,0.95,0.02,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0685,0.95,0.02,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0685,0.95,0.02,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.068,0.95,0.02,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.068,0.95,0.02,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.068,0.95,0.02,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0675,0.95,0.02,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0675,0.95,0.02,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0675,0.95,0.02,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.067,0.95,0.02,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.067,0.95,0.02,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.067,0.95,0.02,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0665,0.95,0.02,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0665,0.95,0.02,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0665,0.95,0.02,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.066,0.95,0.02,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.066,0.95,0.02,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.066,0.95,0.02,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0655,0.95,0.02,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0655,0.95,0.02,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0655,0.95,0.02,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.065,0.95,0.02,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.065,0.95,0.02,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.065,0.95,0.02,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0645,0.95,0.02,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0645,0.95,0.02,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0645,0.95,0.02,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.064,0.95,0.02,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.064,0.95,0.02,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.064,0.95,0.02,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0635,0.95,0.02,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0635,0.95,0.02,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0635,0.95,0.02,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.063,0.95,0.02,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.063,0.95,0.02,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.063,0.95,0.02,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0625,0.95,0.02,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.0625,0.95,0.02,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.0625,0.95,0.02,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.062,0.95,0.02,0.2,,,,,,,,,,,,
B,Architecture B: Stronger Single-Stage,infeasible,False,0.062,0.95,0.02,0.2,,,,,,,,,,,,
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,infeasible,False,0.062,0.95,0.02,0.2,,,,,,,,,,,,
A,Architecture A: Standard Optimization,infeasible,False,0.0615,0.95,0.02,0.2,,,,,,,,,,,,
