architecture,architecture_label,status,is_feasible,mu_europe,portfolio_risk_factor,te_cvar_limit,turnover_limit,expected_return,portfolio_cvar,te_cvar,bm_dist_l2,bm_dist_l1,turnover,herfindahl,effective_n,instability_score,max_adjacent_jump,objective_loss_pct,max_weight
A,Architecture A: Standard Optimization,optimal,True,0.0685,1.0,0.05,0.2,0.06947491932820132,0.27480263899202984,0.014233811283832332,0.06895804222041008,0.12549959999312088,0.12549959999312088,0.31566527229628616,3.167912620623631,0.0985791996457654,0.0236518462495649,,0.37821716170061914
B,Architecture B: Stronger Single-Stage,optimal,True,0.0685,1.0,0.05,0.2,0.06947492061608959,0.2748026456902314,0.014233803871697238,0.06895796655684037,0.12549948912072678,0.12549948912072678,0.31566530316641717,3.1679123108212024,0.09857999035756307,0.02365204494774381,,0.3782170241376394
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0685,1.0,0.05,0.2,0.06939967299902405,0.274801007427778,4.382317190989236e-06,2.2393254675389414e-05,3.8140540998966854e-05,3.8140540998966854e-05,0.3449912677490146,2.8986240913422545,1.1599383322025026e-05,2.778794873113666e-06,0.0010830903640948037,0.3999965216995887
A,Architecture A: Standard Optimization,optimal,True,0.068,1.0,0.05,0.2,0.069289834372608,0.274802630601912,0.015467521185851981,0.07556769686497974,0.14073666096677984,0.14073666096677984,0.3120429118226849,3.2046874391693905,0.09014576161812912,0.021383509050934946,,0.372798016866931
B,Architecture B: Stronger Single-Stage,optimal,True,0.068,1.0,0.05,0.2,0.06928983738419343,0.2748026462726557,0.015467529889334261,0.07556770028024122,0.1407365276929881,0.1407365276929881,0.3120429796585088,3.2046867424941663,0.09014504653040936,0.02138334381249385,,0.37279805582836356
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.068,1.0,0.05,0.2,0.0691995123199666,0.2748001859737387,6.570607897622821e-06,3.3575266181444416e-05,5.718594423458068e-05,5.718594423458068e-05,0.34498690762668005,2.8986607256473857,3.975011636052182e-05,9.52270161775487e-06,0.0013035831463423173,0.39999478482650286
A,Architecture A: Standard Optimization,optimal,True,0.0675,1.0,0.05,0.2,0.06911623727891586,0.2748026515849887,0.01730965448850627,0.08837782662065949,0.15643039725519847,0.15643039725519847,0.30939737281646024,3.232089499975221,0.08026162559030353,0.019124891278095912,,0.3840760400008125
B,Architecture B: Stronger Single-Stage,optimal,True,0.0675,1.0,0.05,0.2,0.06911623740402578,0.2748026522340336,0.01730965679516434,0.08837786733215465,0.15643038767547074,0.15643038767547074,0.30939738170382763,3.2320894071342066,0.08026210773398582,0.01912500671936196,,0.38407613255648143
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0675,1.0,0.05,0.2,0.06899954819576315,0.27480035513688855,6.119969818904833e-06,3.1272539313370765e-05,5.326390266088832e-05,5.326390266088832e-05,0.3449878054846576,2.8986531816541916,8.185789228454263e-06,1.9610207866310736e-06,0.001688303829106238,0.39999514249630336
A,Architecture A: Standard Optimization,optimal,True,0.067,1.0,0.05,0.2,0.06895167775035758,0.2748026502854728,0.01903817452226376,0.1013932002712148,0.16891588529908624,0.16891588529908624,0.30800314174316035,3.246720128698838,0.0663482890652549,0.01578704018509658,,0.3936203361639658
B,Architecture B: Stronger Single-Stage,optimal,True,0.067,1.0,0.05,0.2,0.06895167720654206,0.2748026474740143,0.01903816527581073,0.10139317216166265,0.1689158102061413,0.1689158102061413,0.3080031511573095,3.2467200294624914,0.06634793586386506,0.015786955686677706,,0.3936203769778235
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.067,1.0,0.05,0.2,0.06879963980718683,0.27480081106645715,4.905409279501357e-06,2.506621560025126e-05,4.2693194270727874e-05,4.2693194270727874e-05,0.34499022545640123,2.898632848733788,2.2062386299543928e-05,5.285354195382064e-06,0.0022049847881120423,0.39999610646510825
A,Architecture A: Standard Optimization,optimal,True,0.0665,1.0,0.05,0.2,0.06879527176164338,0.27480265221000916,0.021329537000648373,0.12076970916469787,0.199426003636194,0.199426003636194,0.3081704169635865,3.2449578056616653,0.09197470073571695,0.021634723004588574,,0.40902633228911606
B,Architecture B: Stronger Single-Stage,optimal,True,0.0665,1.0,0.05,0.2,0.06879527152602939,0.27480265100559587,0.021329546310925086,0.12076976021580317,0.19942608718536436,0.19942608718536436,0.3081703979186522,3.2449580062000964,0.09197482463854134,0.021634761511784062,,0.4090263239590836
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0665,1.0,0.05,0.2,0.06859940338810515,0.27479958582837616,8.169342456296764e-06,4.174472185091147e-05,7.110056952389088e-05,7.110056952389088e-05,0.3449837219499872,2.898687492695587,5.928956914564914e-05,1.4203687626689054e-05,0.002847116285457709,0.3999935153018399
