date,strategy_return,benchmark_return,excess_return,n_selected,n_available,selection_mode,strategy_equity,benchmark_equity,excess_equity
2014-04-30,0.027910505544733642,0.016258109301320746,0.011652396243412896,5,27,high_only,2.4903082494190807,1.9693045862448035,1.264562255535981
2014-05-31,0.027285110660834853,0.011032575465263303,0.01625253519557155,5,27,high_only,2.5582565855840707,1.9910310877066386,1.284890327117287
2014-06-30,0.002802982471662866,-0.014613038195672747,0.017416020667335615,6,27,high_only,2.565427333951479,1.9619360743732097,1.3075998588644484
2014-07-31,0.017801657848483705,0.015049395824618736,0.002752262023864969,9,27,high_only,2.611096193585631,1.9914620269390508,1.3111453586684654
2014-08-31,-0.05310044705165985,-0.052616818389778865,-0.00048362866188098735,8,28,high_only,2.4724458184113467,1.886677631137458,1.3104760334285277
2014-09-30,-0.002838246828679905,0.0022900619748366063,-0.005128308803516512,8,28,high_only,2.4654284069081576,1.8909982398393006,1.303770862905548
2014-10-31,-0.00883144049236801,0.0006211510967770688,-0.00945259158914508,9,28,high_only,2.4436551226443544,1.8921728354699803,1.2914544997351662
2014-11-30,-0.05249098456100143,-0.04352453093568227,-0.008966453625319164,10,28,high_only,2.3153852593292177,1.8098169003569093,1.2793477941733258
2014-12-31,-0.01763888936835889,-0.011478296794228706,-0.006160592574130184,13,28,high_only,2.2745444348947808,1.7890432848314017,1.2713747365308337
2015-01-31,0.06161294167693781,0.049865338873058766,0.011747602803879043,13,28,high_only,2.414685808503556,1.8782545344880899,1.2856009471376935
2015-02-28,-0.05366716904999564,-0.023144523357042944,-0.030522645692952696,7,29,high_only,2.28509645701597,1.8347832285441583,1.2454312975321455
2015-03-31,0.0637105842498758,0.04877023035293647,0.014940353896939332,9,29,high_only,2.430681287359779,1.9242660292479614,1.263173204959469
2015-04-30,-0.04112512631916132,-0.020836846653861697,-0.020288279665299624,6,29,high_only,2.3307192123754863,1.8841703930752864,1.2370002314766002
2015-05-31,-0.015103076211143244,-0.02604294132830049,0.010939865117157247,6,29,high_only,2.2955181824842037,1.8351010540759058,1.2508946999870523
2015-06-30,-0.014305074275660598,-0.017238252291874197,0.0029331780162135997,9,29,high_only,2.2626806243826376,1.8034671191246612,1.2546281550621574
2015-07-31,-0.07278048799432017,-0.07892622128770749,0.006145733293387315,8,29,high_only,2.0980016243647763,1.6611262741955237,1.262999482312583
2015-08-31,-0.04148973601422523,-0.0427766149728678,0.0012868789586425664,14,29,high_only,2.010956090812466,1.5900689151429475,1.2646974427719575
2015-09-30,0.057952704303488825,0.06642603775623931,-0.00847333345275049,14,29,high_only,2.127496434510621,1.6956908929352554,1.2546487354354463
2015-10-31,-0.029221022200516145,-0.02616715325254116,-0.0030538689479749845,13,29,high_only,2.0653288139662673,1.6513194894708803,1.250714248293675
