window,method,signal,sample,n_obs,corr_nominal,corr_real,forecast_rho,forecast_mad_paper_pct,forecast_beta_paper,forecast_count,high_cutoff_pct,low_cutoff_pct
latest_online,quartile,CY,Middle,270,0.22186038096215777,0.1141952036432438,0.22666471459112197,0.9780160747858492,0.13887350019349043,251,8.553938352399648,4.9283507276751735
latest_online,decile,DY,All,579,0.20836157287465282,0.35902052326340167,0.3897672327967117,0.9880244343773428,0.2600287768230472,560,6.643952299829642,1.964209325538286
latest_online,decile,DY,H+L,115,0.44462560340488605,0.5981607267887067,0.6093672659929878,0.99325514624566,0.25130403491263353,96,6.643952299829642,1.964209325538286
latest_online,decile,DY,Middle,464,0.0855323272799146,0.2426089003024571,0.31499313995420397,1.012973010888222,0.27219160524014896,445,6.643952299829642,1.964209325538286
latest_online,decile,EY,All,579,0.48577913630731434,0.4834134229862487,0.48150183757630327,0.9068774428556782,0.22534015063180804,560,11.020408163265305,4.586754523693084
latest_online,decile,EY,H+L,115,0.7329544797816004,0.6681941876215662,0.6913213110859917,0.8215199004905823,0.19412424702941777,96,11.020408163265305,4.586754523693084
latest_online,decile,EY,Middle,464,0.2930452824590846,0.38459770557553385,0.3748952023744939,0.9169275078278671,0.2800591067748118,445,11.020408163265305,4.586754523693084
latest_online,decile,CY,All,540,0.4810324123496147,0.5141045727843577,0.5646885389747508,0.8975411702687826,0.21717128717581233,521,11.011885599171515,3.962205911561454
latest_online,decile,CY,H+L,108,0.6631413337719068,0.8155580386767116,0.7360636852629514,0.7166806762975833,0.22105651865672715,89,11.011885599171515,3.962205911561454
latest_online,decile,CY,Middle,432,0.4147113836304518,0.3242690253796773,0.4138956822598375,0.9596765116324839,0.22516519185866507,413,11.011885599171515,3.962205911561454
latest_online,zscore,DY,All,579,0.20836157287465282,0.35902052326340167,0.3897672327967117,0.9880244343773428,0.2600287768230472,560,6.133951266194559,2.616139155538651
latest_online,zscore,DY,H+L,161,0.34408213240047536,0.5034396291815002,0.5258541945360509,1.0146086071865033,0.22322433977975573,142,6.133951266194559,2.616139155538651
latest_online,zscore,DY,Middle,418,0.10243275398871061,0.27758879758701815,0.29498689693469204,0.9840385512479208,0.3657986618247021,399,6.133951266194559,2.616139155538651
latest_online,zscore,EY,All,579,0.48577913630731434,0.4834134229862487,0.48150183757630327,0.9068774428556782,0.22534015063180804,560,10.107972083111969,4.642157409111065
latest_online,zscore,EY,H+L,153,0.6928120457236966,0.6415658313307514,0.6762018988870194,0.8782308060779607,0.20229829471995533,134,10.107972083111969,4.642157409111065
latest_online,zscore,EY,Middle,426,0.18596573468630628,0.2863770242992635,0.2504355726522341,0.9254409510674254,0.23944610627228677,407,10.107972083111969,4.642157409111065
latest_online,zscore,CY,All,540,0.4810324123496147,0.5141045727843577,0.5646885389747508,0.8975411702687826,0.21717128717581233,521,10.090451284353913,3.9907913135973296
latest_online,zscore,CY,H+L,128,0.6332275672943682,0.7924524095874474,0.7154955352904153,0.703545212001675,0.22101694546566505,109,10.090451284353913,3.9907913135973296
latest_online,zscore,CY,Middle,412,0.4135198696138355,0.3030225892690169,0.39595908646815103,0.9782337764153607,0.23568254825038182,393,10.090451284353913,3.9907913135973296
